tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001806.2_region_1_152222__ID=id0,0.3551566211622447,0.555804000345073
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001798.2_region_1_154675__ID=id0,-0.5476374513880482,0.555804000345073
MSBB_BM22,AD_definite,edgeR no prefilter,NC_000898.1_region_1_162114__ID=id0,0.8308064669200883,0.6562801663987666
MSBB_BM22,AD_definite,edgeR no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.2566740611563445,0.8059005194325501
MSBB_BM22,AD_definite,edgeR no prefilter,NC_006273.2_region_1_235646__ID=id0,0.2656688335447445,0.8059005194325501
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001611.1_region_1_185578__ID=id0,-0.15756752309873234,0.8059005194325501
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001405.1_region_1_35937__ID=id0,-0.09994595585879983,0.8415550645838539
MSBB_BM22,AD_definite,edgeR no prefilter,NC_012959.1_region_1_34920__ID=id0,0.13985848007001803,0.90813095524132
MSBB_BM22,AD_definite,edgeR no prefilter,NC_009333.1_region_1_137969__ID=id0,-0.06043615039393291,0.90813095524132
MSBB_BM22,AD_definite,edgeR no prefilter,NC_009823.1_region_1_9711__ID=id0,-0.05225791177158068,0.90813095524132
MSBB_BM22,AD_definite,edgeR no prefilter,NC_009825.1_region_1_9355__ID=id0,0.040865357869038096,0.9429138705923996
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001716.2_region_1_153080__ID=id0,0.02969082454450715,0.9515517326110241
MSBB_BM22,AD_definite,edgeR no prefilter,NC_001664.2_region_1_159322__ID=id0,-0.02339441519277817,0.9515517326110241
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_000898.1_region_1_162114__ID=id0,0.8780177700665065,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001405.1_region_1_35937__ID=id0,-0.1196778522144177,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001460.1_region_1_34125__ID=id0,0.4048983773643523,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001611.1_region_1_185578__ID=id0,-0.16115555488760372,0.714981968304107
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001664.2_region_1_159322__ID=id0,-0.05176423968638077,0.9266265513511365
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001716.2_region_1_153080__ID=id0,0.2166905489896339,0.8577238343062059
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001798.2_region_1_154675__ID=id0,-0.6259776932201176,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_001806.2_region_1_152222__ID=id0,0.35066965718623433,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_002645.1_region_1_27317__ID=id0,-0.2916049651982989,0.560032054776648
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_006273.2_region_1_235646__ID=id0,0.29448243180272765,0.714981968304107
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_009333.1_region_1_137969__ID=id0,-0.05959882449887751,0.851078447778472
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_009823.1_region_1_9711__ID=id0,-0.04835757874285746,0.851078447778472
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_009825.1_region_1_9355__ID=id0,0.039634454182640146,0.8774381598106333
MSBB_BM22,AD_definite,DESeq2 indepfilter,NC_012959.1_region_1_34920__ID=id0,0.1280368625530428,0.851078447778472
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_000898.1_region_1_162114__ID=id0,0.8762455877518633,0.5419804020097463
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001405.1_region_1_35937__ID=id0,-0.11964353145566835,0.551165530675129
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001460.1_region_1_34125__ID=id0,0.4049276838050403,0.5419804020097463
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001611.1_region_1_185578__ID=id0,-0.16117229145216727,0.6896992167209309
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001664.2_region_1_159322__ID=id0,-0.05118915164850561,0.9269395543565119
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001716.2_region_1_153080__ID=id0,0.21285294155137463,0.858821865705254
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001798.2_region_1_154675__ID=id0,-0.6212411229994823,0.5419804020097463
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_001806.2_region_1_152222__ID=id0,0.3509016147323191,0.5419804020097463
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_002645.1_region_1_27317__ID=id0,-0.2909740870855459,0.551165530675129
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_006273.2_region_1_235646__ID=id0,0.2962774403201378,0.6896992167209309
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_009333.1_region_1_137969__ID=id0,-0.059652814130543956,0.8506792850442789
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_009823.1_region_1_9711__ID=id0,-0.047645739434015164,0.8506792850442789
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_009825.1_region_1_9355__ID=id0,0.039739767147025255,0.8776547069050028
MSBB_BM22,AD_definite,DESeq2 prefilter,NC_012959.1_region_1_34920__ID=id0,0.12836237738656614,0.8506792850442789
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.5690619058922639,0.12348337043604408
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001716.2_region_1_153080__ID=id0,0.9158475101085664,0.12348337043604408
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_000898.1_region_1_162114__ID=id0,0.6510774689237494,0.12348337043604408
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001664.2_region_1_159322__ID=id0,0.530437627475167,0.12348337043604408
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001798.2_region_1_154675__ID=id0,-0.482987749432627,0.12348337043604408
