tissue,AD_level,method,name,sx,sy,lx,ly
MSBB_BM22,AD_definite,no prefilter,NC_000898.1_region_1_162114__ID=id0,0.23345835206774268,1.1340884604937047,-0.997938394249843,0.14823521771885037
MSBB_BM22,AD_definite,no prefilter,NC_001348.1_region_1_124884__ID=id0,-0.43518797167945067,0.8813450622492361,-0.997938394249843,0.14823521771885037
MSBB_BM22,AD_definite,no prefilter,NC_001405.1_region_1_35937__ID=id0,4.985211885357355,0.6487183418951811,-0.997938394249843,0.14823521771885037
MSBB_BM22,AD_definite,no prefilter,NC_001460.1_region_1_34125__ID=id0,5.464270546828068,0.7655606854114592,-0.9954644673496524,0.16303827003451413
MSBB_BM22,AD_definite,no prefilter,NC_001531.1_region_1_7746__ID=id0,-0.9206254510494034,0.5689976402164117,-0.9954644673496524,0.16303827003451413
MSBB_BM22,AD_definite,no prefilter,NC_001538.1_region_1_5153__ID=id0,-0.9447067458971432,0.569693870849749,-0.9954644673496524,0.16303827003451413
MSBB_BM22,AD_definite,no prefilter,NC_001560.1_region_1_11161__ID=id0,-0.9702684976359137,0.47631192867274547,-0.9929905404494654,0.1778413223501566
MSBB_BM22,AD_definite,no prefilter,NC_001608.3_region_1_19111__ID=id0,-0.979029389981271,0.4177622563720583,-0.9919741797326047,0.18392284434747838
MSBB_BM22,AD_definite,no prefilter,NC_001611.1_region_1_185578__ID=id0,2.7645230576558077,0.7234684084014313,-0.990957819015744,0.19000436634480017
MSBB_BM22,AD_definite,no prefilter,NC_001664.2_region_1_159322__ID=id0,0.42932207332905037,0.9541089820425748,-0.9890879316823842,0.20119307204907547
MSBB_BM22,AD_definite,no prefilter,NC_001669.1_region_1_5243__ID=id0,-0.98683460751543,0.3318915159939941,-0.988896213265587,0.20234024327450933
MSBB_BM22,AD_definite,no prefilter,NC_001710.1_region_1_9392__ID=id0,-0.953425981099457,0.5734955223474463,-0.988896213265587,0.20234024327450933
MSBB_BM22,AD_definite,no prefilter,NC_001716.2_region_1_153080__ID=id0,0.2794876289075674,1.0289611610162128,-0.98683460751543,0.21467612020421847
MSBB_BM22,AD_definite,no prefilter,NC_001722.1_region_1_10359__ID=id0,-0.9200246241329211,0.5544124289972127,-0.98683460751543,0.21467612020421847
MSBB_BM22,AD_definite,no prefilter,NC_001781.1_region_1_15225__ID=id0,-0.974438248261233,0.4637256225531024,-0.98683460751543,0.21467612020421847
MSBB_BM22,AD_definite,no prefilter,NC_001796.2_region_1_15462__ID=id0,-0.9929905404494654,0.24291632343310743,-0.98683460751543,0.21467612020421847
MSBB_BM22,AD_definite,no prefilter,NC_001798.2_region_1_154675__ID=id0,0.8844148433978951,1.0026067767090718,-0.98683460751543,0.21467612020421847
MSBB_BM22,AD_definite,no prefilter,NC_001803.1_region_1_15191__ID=id0,-0.9702684976359137,0.4985962560437675,-0.9829319987483522,0.23802786990311608
MSBB_BM22,AD_definite,no prefilter,NC_001806.2_region_1_152222__ID=id0,2.481416645601616,0.9297608640587386,-0.9829319987483522,0.23802786990311608
MSBB_BM22,AD_definite,no prefilter,NC_001809.1_region_1_10871__ID=id0,-0.9776478686345911,0.43457319434544134,-0.9829319987483522,0.23802786990311608
MSBB_BM22,AD_definite,no prefilter,NC_001989.1_region_1_15140__ID=id0,-0.988896213265587,0.3061947307761089,-0.979029389981271,0.26137961960203493
MSBB_BM22,AD_definite,no prefilter,NC_002161.1_region_1_15456__ID=id0,-0.9405369952718239,0.5730552434049715,-0.9776478686345911,0.26964612608956845
MSBB_BM22,AD_definite,no prefilter,NC_002207.1_region_1_1882__ID=id0,-0.990957819015744,0.25269390778072415,-0.9776478686345911,0.26964612608956845
MSBB_BM22,AD_definite,no prefilter,NC_002209.1_region_1_1557__ID=id0,-0.9726101492345514,0.439797753745797,-0.9776478686345911,0.26964612608956845
MSBB_BM22,AD_definite,no prefilter,NC_002645.1_region_1_27317__ID=id0,2.0341719935128815,0.9018110143578949,-0.9762663472879112,0.27791263257710197
MSBB_BM22,AD_definite,no prefilter,NC_002728.1_region_1_18246__ID=id0,-0.9679268460372761,5.74170569485646e-8,-0.9762663472879112,0.27791263257710197
MSBB_BM22,AD_definite,no prefilter,NC_003635.1_region_1_10600__ID=id0,-0.9954644673496524,0.17685610955889003,-0.9759225391978141,0.2799698514641527
MSBB_BM22,AD_definite,no prefilter,NC_003874.1_region_1_3157__ID=id0,-0.9138846507117542,0.6195780517252779,-0.974438248261233,0.28885129270002075
MSBB_BM22,AD_definite,no prefilter,NC_004102.1_region_1_9646__ID=id0,-0.9679268460372761,0.5228757461469785,-0.974438248261233,0.28885129270002075
MSBB_BM22,AD_definite,no prefilter,NC_004109.1_region_1_4527__ID=id0,-0.997938394249843,0.1209349587750673,-0.974438248261233,0.28885129270002075
MSBB_BM22,AD_definite,no prefilter,NC_004119.1_region_1_10690__ID=id0,-0.966544081900178,0.447994118135104,-0.974438248261233,0.28885129270002075
MSBB_BM22,AD_definite,no prefilter,NC_004162.2_region_1_11826__ID=id0,-0.9679268460372761,0.5075489280674131,-0.9726101492345514,0.2997899528229607
MSBB_BM22,AD_definite,no prefilter,NC_004180.1_region_1_1884__ID=id0,-0.988896213265587,0.2766420336210638,-0.9726101492345514,0.2997899528229607
MSBB_BM22,AD_definite,no prefilter,NC_004181.1_region_1_4350__ID=id0,-0.9829319987483522,0.3609018334326763,-0.9726101492345514,0.2997899528229607
MSBB_BM22,AD_definite,no prefilter,NC_004297.1_region_1_7279__ID=id0,-0.9890879316823842,0.2261908684295182,-0.9726101492345514,0.2997899528229607
